virus,realm,locus_tag,host,type,shape,corr,p.value
Squirrel monkey retrovirus,Riboviria,SMRV,vertebrates,ss-RNA,linear,-0.218994739918177,0.0956345552532502
Alternanthera yellow vein betasatellite,Tolecusatellitidae,AYVVSDB,land plants,DNA,circular,-0.325303643724696,0.0438236674850654
Lactococcus phage 50101,Duplodnaviria,BI030,bacteria,DNA,linear,-0.409292811221508,0.00140468616588292
Mycobacterium phage Sbash,Duplodnaviria,VC60,bacteria,DNA,linear,0.515780245470485,3.77648195472044e-05
Commelina yellow mottle virus,Riboviria,ComYMVgp,land plants,DNA,circular,-0.309292811221508,0.0174880261023775
Hubei myriapoda virus 2,Riboviria,BVA84,invertebrates,RNA,linear,-0.348509643483343,0.00709995466012081
Polaribacter phage Freya 1,NA,M1M24,NA,NA,NA,-0.419871420222092,0.00102802229300507
Mosquito densovirus BR/07,NA,MdBr7,NA,ss-DNA,linear,-0.513968439509059,4.0548698035738e-05
Vibrio phage VPMS1,Duplodnaviria,MS,bacteria,DNA,linear,-0.0992986557568673,0.453280974659284
Mycobacterium phage Larva,Duplodnaviria,CL76,bacteria,DNA,linear,0.473524254821742,0.000181019960431885
Erwinia phage phiEt88,Duplodnaviria,ErPhphiEt88,bacteria,DNA,linear,-0.361952074810053,0.00508371811716032
Deltapapillomavirus 3,Monodnaviria,OPV1gp,vertebrates,DNA,circular,-0.436820572764465,0.000611021610719619
Bos taurus papillomavirus 16,Monodnaviria,BGI61,vertebrates,DNA,circular,-0.462419637638808,0.000265113973946408
Porcine coronavirus HKU15,Riboviria,PorCoV,vertebrates,RNA,linear,-0.154120397428404,0.243130661583157
Arthrobacter phage Bennie,Duplodnaviria,FDH55,bacteria,DNA,linear,0.542372881355932,1.2738516087575e-05
Changjiang picorna-like virus 16,Riboviria,BWV40,invertebrates,RNA,linear,-0.0244301578024547,0.853995531078324
Pandoravirus dulcis,unclassified viruses,pdul,protozoa,DNA,linear,0.311338398597312,0.0167281776438726
Hubei tetragnatha maxillosa virus 5,Riboviria,BWS19,invertebrates,RNA,linear,-0.276797194623028,0.0341461539177799
Escherichia phage HY03,Duplodnaviria,BI016,bacteria,DNA,linear,-0.308240794856809,0.0178902103970967
Mycobacterium phage LeBron,Duplodnaviria,LEBRON,bacteria,DNA,linear,0.284102863822326,0.029550504788687
Avian metaavulavirus 8,Riboviria,N615,vertebrates,RNA,linear,-0.452717708942139,0.000366423666540726
Nemesia ring necrosis virus,Riboviria,NRNV,land plants,ss-RNA,linear,0.428112215078901,0.000800774550699222
Mycobacterium phage Faith1,Duplodnaviria,SEA,bacteria,DNA,linear,0.277440093512566,0.0337190801216127
Avian-like circovirus,Monodnaviria,A8M53,invertebrates,DNA,linear,-0.0654401154401154,0.634133508889113
Circovirus-like genome DCCV-12,NA,BBV96,NA,ss-DNA,circular,-0.0190531852717709,0.885922600882906
Mac Peak virus,Riboviria,CGV00,invertebrates,RNA,linear,-0.096843950905903,0.464568277968734
Mycobacterium phage Muddy,Duplodnaviria,PBI,bacteria,DNA,linear,0.556867329047341,6.80510686886455e-06
Aquatic bird bornavirus 2,Riboviria,A0U88,vertebrates,cRNA,linear,-0.447925189947399,0.000428542025080904
Pseudocowpox virus,Varidnaviria,PCPV,human:vertebrates,DNA,linear,0.361659848042081,0.00512149324935148
Raspberry bushy dwarf virus,Riboviria,RBDV,land plants,ss-RNA,linear,-0.316949152542373,0.0147879992761801
Xinzhou spider virus 3,Riboviria,A9L00,invertebrates,RNA,linear,-0.358912916423144,0.00548889108881402
Pseudomonas phage SL2,Duplodnaviria,FDJ06,bacteria,DNA,linear,-0.280771478667446,0.0315770617788323
Trichodysplasia spinulosa-associated polyomavirus,Monodnaviria,TSaPV,human,DNA,circular,-0.488383838383838,0.000186911246449811
Escherichia phage vB EcoM ECO1230-10,NA,ECOPH,NA,NA,NA,0.11718293395675,0.375770812126799
Nilaparvata lugens reovirus,NA,NLRVs1,NA,ds-RNA,linear,-0.410695499707773,0.00134845809501701
crAssphage cr130 1,NA,KNV59,NA,NA,NA,-0.375978959672706,0.00353655424161735
Mycobacterium phage CRB2,Duplodnaviria,I5G62,bacteria,DNA,linear,0.553185271770894,7.99880607443548e-06
Infectious bronchitis virus,Riboviria,IBVgp,human:vertebrates,RNA,linear,-0.306545879602572,0.0185548582171532
Infectious bronchitis virus,Riboviria,IBVgp,human:vertebrates,ss-RNA,linear,-0.306545879602572,0.0185548582171532
Tomato leaf curl Joydebpur virus,Monodnaviria,ToLCJVp,land plants,DNA,circular,-0.332846288720047,0.0103079317521462
Erwinia phage vB EamP-S2,NA,HOS70,NA,NA,NA,0.114085330216248,0.388588537005486
Okra leaf curl Oman virus,Monodnaviria,AVU71,land plants,DNA,circular,-0.281940385739334,0.0308530885717633
Caulobacter phage CcrPW,Duplodnaviria,HOU00,bacteria,DNA,linear,0.572998246639392,3.2893229494606e-06
Curvularia thermal tolerance virus,Riboviria,CThTV,fungi,RNA,linear,0.0689655172413793,0.602856529107479
Pseudomonas phage PPpW-4,Duplodnaviria,X917,bacteria,DNA,linear,0.591934541203974,1.34742487665331e-06
Tolypocladium cylindrosporum virus 1,Riboviria,NA,fungi,RNA,linear,0.4218216493894,0.00107534110564758
Torque teno mini virus 11,Anelloviridae,D1P74,human,DNA,linear,-0.323261250730567,0.0128402949021044
Streptococcus phage TP-778L,Duplodnaviria,V442,bacteria,DNA,linear,-0.323085914669784,0.0128912379873011
Mycobacterium phage DirkDirk,Duplodnaviria,KNU85,bacteria,DNA,linear,0.281531268264173,0.0311048754398055
Arthrobacter phage Maja,Duplodnaviria,HOU96,bacteria,DNA,linear,0.529339567504383,2.19195291088979e-05
Pepper mottle virus,Riboviria,PepMoVgp,land plants,ss-RNA,linear,-0.451373465809468,0.000382959780080052
Human papillomavirus 4,Monodnaviria,HpV4gp,human,DNA,linear,-0.498655756867329,7.29127086777994e-05
Halorubrum pleomorphic virus 11,Monodnaviria,HOV15,archaea,DNA,circular,-0.246288720046756,0.060269656898523
Mycobacterium phage Phipps,Duplodnaviria,AVV57,bacteria,DNA,linear,0.510461718293396,4.6485214107569e-05
Lactococcus phage vB Llc bIBBF12,NA,HYP53,NA,NA,NA,-0.387142022209234,0.00262108064263549
Alcelaphine gammaherpesvirus 2,Duplodnaviria,ALHV2gp,vertebrates,DNA,linear,-0.243600233781414,0.0631948330230576
Cowpea mosaic virus,Riboviria,CPMV,land plants,RNA,linear,-0.340268848626534,0.0086573293221115
Cowpea mosaic virus,Riboviria,CPMV,land plants,ss-RNA,linear,-0.340268848626534,0.0086573293221115
Propionibacterium phage PHL082M00,Duplodnaviria,ACQ77,bacteria,DNA,linear,0.0973115137346581,0.462406572594046
Petunia vein banding virus,NA,FK836,NA,RNA,linear,0.0362844702467344,0.797964593739813
Serratia phage JS26,Duplodnaviria,JT354,bacteria,DNA,linear,0.419403857393337,0.00104251404238102
Oryza sativa alphaendornavirus,Riboviria,OSV,land plants,ds-RNA,linear,-0.438632378725891,0.000577100432188788
Vibrio phage VSK,Monodnaviria,VSKp,bacteria,ss-DNA,circular,-0.242255990648743,0.0646999410623739
Crassocephalum yellow vein virus - Jinghong,Monodnaviria,CYVVJ,land plants,ss-DNA,circular,-0.40292226767972,0.00168758291324668
Cercopithecine alphaherpesvirus 2,Duplodnaviria,CeHV2gR,vertebrates,DNA,linear,0.406136762127411,0.00153900016854177
Rousettus aegyptiacus papillomavirus 1,Monodnaviria,RAPV1,vertebrates,DNA,circular,-0.249210987726476,0.0572158226387525
Bacillus phage AP50,Varidnaviria,BPAP50,bacteria,DNA,linear,-0.391525423728814,0.00232398936389255
Enterococcus phage vB EfaP IME199,NA,H3T64,NA,NA,NA,-0.353419053185272,0.00629414537817862
Sparrow coronavirus HKU17,Riboviria,SpCoV,vertebrates,RNA,linear,-0.0917007597895967,0.488707054326294
Salmonella phage 1-29,Duplodnaviria,HWC67,bacteria,DNA,linear,-0.186616014026885,0.156671234727408
Beihai picorna-like virus 57,Riboviria,B2K51,invertebrates,RNA,linear,0.264815897136178,0.042971050904485
Bidens mottle virus,Riboviria,BiMV,land plants,ss-RNA,linear,-0.417825832846289,0.00109279815376381
Staphylococcus phage 37,NA,ST37ORF0,NA,NA,NA,-0.393220338983051,0.00221745315130363
Alteromonas phage vB AmeM PT11-V22,NA,HWD03,NA,NA,NA,-0.375336060783168,0.00359704161806118
Castor canadensis papillomavirus 1,Monodnaviria,Z049,vertebrates,DNA,circular,-0.410695499707773,0.00134845809501701
Aspergillus fumigatus partitivirus 2,Riboviria,F2Q04,fungi,RNA,linear,0.0814851271955459,0.542151126297516
Suffolk virus,NA,ASN05,NA,cRNA,circular,0.0695499707773232,0.599780480234303
Hubei picorna-like virus 35,Riboviria,BWX02,invertebrates,RNA,linear,-0.441203974284045,0.00053189207935343
Silurus glanis circovirus,Monodnaviria,NG56,vertebrates,DNA,circular,-0.291174751607247,0.0256095008604526
Miniopterus schreibersii papillomavirus 1,Monodnaviria,D1R39,vertebrates,DNA,linear,-0.413033313851549,0.00125924102667687
Wheat yellow dwarf virus-GPV,Riboviria,WYDV,land plants,ss-RNA,linear,-0.118118059614261,0.371952182582364
Mycobacterium phage Renaud18,Duplodnaviria,HWB85,bacteria,DNA,linear,0.4822910578609,0.000132787464647032
Pseudoalteromonas phage Cr39582,Varidnaviria,FDJ46,bacteria,DNA,circular,-0.38760958503799,0.00258784883843195
Chick syncytial virus,NA,FK927,NA,DNA,linear,-0.304192685102587,0.0206163425416586
Salmonella phage 38,Duplodnaviria,SP38,bacteria,DNA,linear,-0.140736411455289,0.286869237423055
Yerba mate alphaendornavirus,Riboviria,HT28,land plants,RNA,linear,-0.530274693161894,2.10961478527484e-05
Mycobacterium phage Kersh,Duplodnaviria,I5H52,bacteria,DNA,linear,0.466861484511981,0.00022791753158086
Citrobacter phage Michonne,Duplodnaviria,CPT,bacteria,DNA,linear,-0.225073056691993,0.0866092057035945
Bamboo mosaic virus,Riboviria,BaMVgp,land plants,ss-RNA,linear,-0.0561075394506137,0.672204916546355
Strawberry mottle virus,Riboviria,SMoV,land plants,RNA,linear,-0.186265341905319,0.157462179432212
Escherichia phage vB EcoM DalCa,NA,KMC00,NA,NA,NA,-0.295908825248393,0.0232279389833684
Bacillus phage SerPounce,Duplodnaviria,H3011,bacteria,DNA,linear,-0.479221138761574,0.000169505866929502
Kadiweu virus,NA,FLA29,NA,RNA,linear,-0.234190531852718,0.0743493512692626
Mycobacterium phage Nyxis,Duplodnaviria,PBI,bacteria,DNA,linear,0.566101694915254,4.50537273816507e-06
Arthrobacter phage Peas,Duplodnaviria,HOU51,bacteria,DNA,linear,0.560257159555815,5.85596149780853e-06
Enterococcus phage IME-EFm5,Duplodnaviria,AVU90,bacteria,DNA,linear,-0.337697253068381,0.00920092591754169
Bean yellow mosaic Mexico virus,Monodnaviria,BYMMV,land plants,ss-DNA,circular,-0.100818234950321,0.446370351334529
Alternaria arborescens victorivirus 1,Riboviria,EXL19,fungi,RNA,linear,0.192635885447107,0.143549776146419
Johnsongrass chlorotic stripe mosaic virus,NA,JCSMV,NA,ss-RNA,linear,-0.128930450029223,0.329528207519126
Gordonia phage Syleon,Duplodnaviria,L3Y25,bacteria,DNA,linear,0.39666861484512,0.00201411314512283
Black sea bass polyomavirus 1,Monodnaviria,QY61,vertebrates,DNA,circular,-0.290648743424898,0.0258864533134143
Pegivirus F,Riboviria,D1Q57,vertebrates,RNA,linear,0.316540035067212,0.0149225953808874
Malvastrum yellow vein Changa Manga virus,Monodnaviria,MYVChMV,land plants,ss-DNA,circular,-0.347983635300994,0.00719144656119617
Salmonella phage vB SPuM SP116,NA,HB2014,NA,NA,NA,-0.207481005260082,0.114736321912715
Beihai razor shell virus 1,Riboviria,BVK51,invertebrates,RNA,linear,-0.332261835184103,0.0104488352518875
Molluscum contagiosum virus subtype 1,Varidnaviria,MOCVgp,human:vertebrates,DNA,linear,0.427995324371713,0.00080365022240445
Lactococcus phage phiQ1,Duplodnaviria,H1N69,bacteria,DNA,circular,-0.238690824079486,0.0688324315183574
Radish mosaic virus,Riboviria,RaMV,land plants,RNA,linear,-0.389362945645821,0.00246655939865759
Avian paramyxovirus UPO216,Riboviria,D1U15,vertebrates,RNA,linear,-0.441963763880772,0.000519166237464993
Corynebacterium phage Stickynote,Duplodnaviria,KNU65,bacteria,DNA,linear,0.358503798947984,0.00554555584982952
Streptococcus phage phiARI0131-2,Duplodnaviria,BOX01,bacteria,DNA,linear,-0.330508474576271,0.0108816562847705
Porcine adenovirus 4,Varidnaviria,D1P62,vertebrates,DNA,linear,0.0563413208649912,0.670916968852584
Apple rubbery wood virus 2,Riboviria,KM694,land plants,RNA,linear,-0.383869082407949,0.0028645849475104
Cherry associated luteovirus,Riboviria,BON40,land plants,RNA,linear,-0.336469900642899,0.0094707173015377
Celery mosaic virus,Riboviria,CeMV,land plants,ss-RNA,linear,-0.482933956750438,0.000129764511284289
Parsley severe stunt associated virus,Monodnaviria,KM762,land plants,DNA,circular,-0.400876680303916,0.00178873024880013
Mycobacterium phage Estes,NA,J4U03,NA,DNA,linear,0.681765049678551,6.35263086101213e-09
Rhodococcus phage E3,Duplodnaviria,M176,bacteria,DNA,circular,0.596551724137931,1.07711938497741e-06
Picobirnavirus dog/KNA/2015,Riboviria,CGV02,vertebrates,RNA,linear,-0.329785597834446,0.0117961277856582
Pacific flying fox associated cyclovirus-1,Monodnaviria,D1Q25,vertebrates,ss-DNA,circular,-0.0988895382817066,0.455151587728743
Yersinia phage PYPS2T,Duplodnaviria,KMC36,bacteria,DNA,linear,-0.296317942723553,0.0230312672310508
Pseudomonas phage PaoP5,Duplodnaviria,PaoP5,bacteria,DNA,linear,0.108766803039158,0.411195552854083
Microbacterium phage Metamorphoo,Duplodnaviria,HOT42,bacteria,DNA,linear,0.566212433479959,5.43447662387261e-06
Mycobacterium phage Aeneas,Duplodnaviria,CL91,bacteria,DNA,linear,0.529222676797195,2.20245307588428e-05
Odonata-associated circular virus-16,unclassified viruses,EXL08,invertebrates,ss-DNA,circular,-0.404964778984281,0.00175114806485852
Azobacteroides phage ProJPt-Bp1,Duplodnaviria,KNT10,bacteria,DNA,circular,-0.306428988895383,0.0186014656407151
Porcine epidemic diarrhea virus,Riboviria,PEDVgp,vertebrates,ss-RNA,linear,-0.177440093512566,0.178355916486465
Propionibacterium phage E6,Duplodnaviria,FDH11,bacteria,DNA,linear,0.534950321449445,1.7394303359818e-05
Rotavirus I,Riboviria,XM18,vertebrates,RNA,linear,-0.494739918176505,8.43741160426009e-05
Banana streak UM virus,Riboviria,BaSUMV,land plants,DNA,circular,-0.32437171244886,0.0125216864236423
Escherichia phage alpha3,Monodnaviria,alpha3p,bacteria,ss-DNA,circular,-0.0239625949736996,0.856763273711972
Streptococcus phage SP-QS1,Duplodnaviria,BN19,bacteria,NA,NA,-0.195558153126826,0.137486039242252
Eidolon helvum papillomavirus 2,Monodnaviria,B1T57,vertebrates,DNA,circular,-0.384044418468732,0.00285104515407234
Salmonella phage SETP3,Duplodnaviria,SPSV3,bacteria,DNA,linear,-0.203272939801286,0.122408476823078
Xinzhou nematode virus 3,Riboviria,B1U15,invertebrates,RNA,linear,-0.170075978959673,0.197281662726614
Lactococcus phage r1t,Duplodnaviria,r1tp,bacteria,DNA,linear,-0.402571595558153,0.0017045484192193
Short-finned eel ranavirus,Varidnaviria,SERV,vertebrates,DNA,linear,0.288194038573933,0.0272126602817352
Solenopsis invicta virus 4,Riboviria,CKM70,invertebrates,RNA,linear,-0.311630625365284,0.0166219789274424
Phormidium phage Pf-WMP3,Duplodnaviria,PfWMP3,bacteria,DNA,linear,-0.113291703835861,0.39611604075473
Blechomonas maslovi narnavirus 1,NA,EXJ24,NA,RNA,linear,0.149094097019287,0.258984024099182
Pseudomonas phage phiYY,Riboviria,phiYY,bacteria,ds-RNA,linear,0.606078316773817,6.73413005208659e-07
Hubei orthoptera virus 5,Riboviria,BWW77,invertebrates,RNA,linear,-0.26750438340152,0.0408420925512361
Equus caballus papillomavirus 3,Monodnaviria,A11O,vertebrates,DNA,linear,-0.382992402104033,0.00293314886682345
Salmonella phage SH9,Duplodnaviria,HOT53,bacteria,DNA,linear,-0.198947983635301,0.130696859483503
Wuhan spider virus 8,Riboviria,B1T64,invertebrates,RNA,linear,0.0704850964348334,0.594873346426946
Hubei narna-like virus 22,Riboviria,BWW40,invertebrates,RNA,linear,-0.41259343566397,0.00140846152274123
Pseudomonas phage KPP25,Duplodnaviria,FF13,bacteria,DNA,circular,0.589538281706604,1.51200176898539e-06
Stenotrophomonas phage Moby,Duplodnaviria,HWC58,bacteria,DNA,linear,0.652659263588545,5.62151535301165e-08
Botryosphaeria dothidea chrysovirus 1,Riboviria,B7753,fungi,RNA,linear,0.2062536528346,0.116934703784693
Oenococcus phage phiS13,Duplodnaviria,CF85,bacteria,DNA,linear,-0.322910578609001,0.0129423560095862
Sudan watermelon mosaic virus,Riboviria,CKM72,land plants,RNA,linear,-0.469082407948568,0.000211172724858471
Gyrovirus GyV7-SF,NA,NA36,NA,DNA,linear,-0.156808883693746,0.234931162383122
Fowl aviadenovirus 5,Varidnaviria,L802,vertebrates,DNA,linear,0.227235534774985,0.0835658387418231
Shigella phage SH7,Duplodnaviria,KMC34,bacteria,DNA,linear,-0.305493863237873,0.0189779482989347
Staphylococcus phage Fi200W,Duplodnaviria,HOQ74,bacteria,DNA,linear,-0.404850964348334,0.00159695826499863
Ctenophore-associated circular genome 3,NA,AXI95,NA,DNA,circular,-0.274299384825701,0.0411052074263189
Porcine associated porprismacovirus 10,Monodnaviria,A8B39,vertebrates,DNA,circular,-0.00116890707188779,0.993142964872212
Lake Sarah-associated circular virus-35,unclassified viruses,A0S34,invertebrates,ss-DNA,circular,-0.230917592051432,0.0785796927003747
Mycobacterium phage Geralt,Duplodnaviria,KNT74,bacteria,DNA,linear,0.458679135008767,0.000300663695981696
Mycobacterium phage Weirdo19,Duplodnaviria,KDJ11,bacteria,DNA,linear,0.352893045002922,0.00637644620066218
Mycobacterium phage Bircsak,Duplodnaviria,JMN51,bacteria,DNA,linear,0.530450029222677,2.09450087232888e-05
Gentian Kobu-sho-associated virus,Riboviria,H652,land plants,RNA,linear,-0.413617767387493,0.00123778603442247
Microviridae Fen685 11,NA,AFL77,NA,NA,NA,-0.201694915254237,0.125384680911964
Enterococcus phage phiFL2A,Duplodnaviria,EP,bacteria,DNA,linear,-0.461893629456458,0.000269868835886586
Algerian watermelon mosaic virus,Riboviria,A,land plants,ss-RNA,linear,-0.439041496201052,0.000569681990807785
Banzi virus,Riboviria,FK856,invertebrates,RNA,linear,-0.120748100526008,0.361339359120756
Garlic virus C,Riboviria,GarVCgp,land plants,RNA,linear,-0.274225599064874,0.0358999878411025
Bean golden yellow mosaic virus-[Dominican Republic],Monodnaviria,D1S65,land plants,DNA,linear,-0.450672121566336,0.000391855228290183
Streptococcus phage 7201,Duplodnaviria,ST7201p,bacteria,DNA,linear,-0.330450029222677,0.0108963483193785
Bovine serum-associated circular virus,unclassified viruses,EXK02,vertebrates,DNA,linear,-0.232848458532349,0.111164218376755
Sweet potato leaf curl Lanzarote virus,Monodnaviria,SPLCLaV,land plants,DNA,circular,-0.290824079485681,0.0257938554235583
Escherichia phage V18,Duplodnaviria,FDH54,bacteria,DNA,circular,-0.283459964932788,0.0299328302929087
Ageratum latent virus 1998,Riboviria,O218,land plants,RNA,linear,-0.324780829924021,0.012406043742598
Mayaro virus,Riboviria,MAYVgp,human:invertebrates:vertebrates,ss-RNA,linear,-0.290064289888954,0.0261971481562773
Beihai sesarmid crab virus 4,Riboviria,BVB45,invertebrates,RNA,linear,-0.0441262419637639,0.739400467760378
Streptomyces phage Diane,Duplodnaviria,KGG78,bacteria,DNA,linear,0.607185702420868,7.97122507999595e-07
Bhendi yellow vein mosaic betasatellite [India:Coimbator:OYCO1:2005],Tolecusatellitidae,BYVMb,land plants,NA,NA,-0.209322683006893,0.206463924108294
Rhizophagus diaphanum mitovirus 1,Riboviria,EXL70,fungi,RNA,linear,-0.379777907656341,0.00319725427434906
Chenuda virus,Riboviria,AD071,invertebrates,RNA,linear,-0.208299240210403,0.1132885267947
Tomato yellow leaf curl Saudi virus,Monodnaviria,P360,land plants,DNA,linear,-0.373991817650497,0.0037264979068434
Citrus leaf rugose virus,Riboviria,CiLRV,land plants,ss-RNA,linear,-0.356575102279369,0.00581970435706401
Drakaea virus A,Riboviria,FK972,land plants,RNA,linear,-0.377381648158971,0.00340771361807206
Gordonia phage Jambalaya,Duplodnaviria,KNV15,bacteria,DNA,linear,0.567796610169492,4.1723442475581e-06
Plum pox virus,Riboviria,PlPVgp,land plants,ss-RNA,linear,-0.425891291642315,0.000857039798962785
Hubei sobemo-like virus 38,Riboviria,BVB15,invertebrates,RNA,linear,-0.410286382232613,0.00136464449408393
Alfalfa virus S,Riboviria,CCL40,land plants,ss-RNA,linear,-0.0587375803623612,0.657770680177952
Simian adenovirus 8,Varidnaviria,AR659,vertebrates,DNA,linear,0.299941554646406,0.0213502992040422
